date,likes
2025-02-18 23:58:10,491900
2025-02-20 20:58:22,230800
2025-02-23 23:42:45,102100
2025-02-26 21:15:46,115000
2025-02-27 01:07:41,213900
2025-02-27 21:40:21,92000
2025-02-28 20:16:28,803600
2025-03-03 18:08:11,71200
2025-03-04 17:44:15,542200
2025-03-15 14:02:29,74700
2025-03-18 00:27:22,209300
2025-03-25 22:23:04,146100
2025-03-26 14:32:37,132600
2025-03-28 23:49:58,1100000
2025-03-30 14:55:50,1000000
2025-03-31 14:48:33,3000000
2025-04-04 17:26:36,772100
2025-04-08 23:44:03,595700
2025-04-10 23:33:47,441600
2025-04-13 17:15:32,21000
2025-04-15 13:23:18,43500
2025-04-16 22:52:23,52400
2025-04-18 20:08:12,126000
2025-04-21 23:20:33,110600
2025-04-23 22:39:18,360400
2025-04-24 22:27:59,56500
2025-05-01 18:06:11,35700
2025-05-04 15:45:12,1300000
2025-05-05 21:11:00,152400
2025-05-06 12:38:04,144900
2025-05-06 16:37:56,737100
2025-05-06 22:04:07,394100
2025-05-06 22:29:37,108800
2025-05-07 15:58:41,456600
2025-05-08 19:50:29,207900
2025-05-08 21:38:31,87900
2025-05-09 14:58:57,83600
2025-05-11 13:45:22,102400
2025-05-13 14:12:06,31000
2025-05-14 18:11:48,335900
2025-05-16 17:03:44,167900
2025-05-16 23:20:03,54700
2025-05-17 16:00:47,1100000
2025-05-20 14:58:54,719400
2025-05-20 21:17:20,361400
2025-05-21 14:12:52,119000
2025-05-21 22:48:11,101800
2025-05-22 22:02:42,177100
2025-05-24 17:26:56,0
2025-05-27 00:51:35,0
2025-05-28 18:03:31,0
2025-05-31 21:28:02,0
2025-06-02 18:05:34,0
2025-06-04 00:00:44,0
2025-06-04 13:17:24,0
2025-06-05 18:33:31,0
2025-06-05 22:06:02,0
2025-06-07 17:53:51,0
2025-06-07 23:26:53,0
2025-06-10 16:13:41,0
2025-06-10 22:06:20,0
2025-06-11 21:15:29,0
2025-06-13 22:12:48,0
2025-06-15 15:29:40,0
2025-06-16 23:27:46,0
2025-06-21 02:31:40,0
2025-06-21 14:42:08,0
2025-06-21 22:59:55,0
2025-06-27 23:48:55,0
2025-06-28 17:29:39,0
2025-06-29 16:06:26,0
2025-06-30 04:54:42,0
2025-06-30 22:26:27,0
2025-07-02 12:17:38,0
2025-07-08 18:26:08,0
2025-07-11 01:25:22,0
2025-07-15 15:25:01,0
2025-07-16 21:00:23,0
2025-07-16 23:39:29,0
2025-07-22 19:08:47,0
2025-07-31 23:03:45,0
